trace_id,span_id,service,operation,source_field,value
c24daec82ab955950e726529c4e765af,743c5e780743f457,ts-gateway-service,GET /*,http.target,df2b3a56-3043-481d-87b1-6c347ccc5816
1d31d0904fdd28c7e38e1c5e7a743832,cb27b7ba0a53ecb0,ts-gateway-service,POST,http.url,12032
95973629c619b248bd6ff099d5f24aa8,a841e70498bf6a3b,ts-admin-route-service,GET,http.url,11178
95973629c619b248bd6ff099d5f24aa8,0448ec4d055b197d,ts-gateway-service,GET,http.url,16113
8a39bee90c225eaf5655b5cbdfc4cd0b,84a4b742f2dcb541,ts-gateway-service,POST,http.url,12032
dd3ad786b0b1818ad7afa5c0a0aeea10,723f25f78684293a,ts-gateway-service,GET,http.url,16112
dd3ad786b0b1818ad7afa5c0a0aeea10,93c12d3b8386a1f4,ts-admin-order-service,GET,http.url,12031
dd3ad786b0b1818ad7afa5c0a0aeea10,5e6948d616c6b389,ts-admin-order-service,GET,http.url,12032
d90c3d80bcb8d77b2899fc05f3613c37,e1e19c8a28ab3bed,ts-gateway-service,POST,http.url,12346
6c7d167b147ad3ef3c4b609c3a9b9646,bba16a96cc97712a,ts-gateway-service,GET,http.url,18767
6c7d167b147ad3ef3c4b609c3a9b9646,4c9726d5ca9cb38f,ts-admin-basic-info-service,GET,http.url,12345
28a47531818821e101e3c6a09dba067c,041752ca63dade9a,ts-gateway-service,POST,http.url,16113
28a47531818821e101e3c6a09dba067c,993b496b39a0d254,ts-admin-route-service,POST,http.url,12345
28a47531818821e101e3c6a09dba067c,14531ff867325292,ts-admin-route-service,POST,http.url,11178
32b4af45c770add94fb52d73b2e688b6,88d8a8c253626e5f,ts-gateway-service,POST,http.url,12032
4b2a83443d35284a744e81c83a60f227,e4ec0228e247476b,ts-gateway-service,PUT,http.url,18767
4b2a83443d35284a744e81c83a60f227,c2a4756f42d0acbf,ts-admin-basic-info-service,PUT,http.url,12345
bed1e0a96f400129f677048cd309d64d,e38563be3a25dd8a,ts-gateway-service,PUT,http.url,16111
10c6e82e2170aee082992188a0223ff6,8ae4b37307404fef,ts-gateway-service,POST,http.url,12031
11d22dcb0f55b02ac5fa738b8828d252,10c8c706a14bc594,ts-admin-route-service,GET,http.url,11178
11d22dcb0f55b02ac5fa738b8828d252,21fbe3cc336321f9,ts-gateway-service,GET,http.url,16113
45aeaa3fecddca2154aa3debde4a47ab,872071c9726cad8f,ts-gateway-service,GET,http.url,11178
805a5489bba130b160ed38fbe9397769,c712b17e27ecd837,ts-gateway-service,GET,http.url,18767
805a5489bba130b160ed38fbe9397769,80dd56293a1bac48,ts-admin-basic-info-service,GET,http.url,16579
274db852a5222e30746c47df691f9217,79c1499a104291a7,ts-gateway-service,GET,http.url,11178
fb0a384f45cf9ca101d53dafb7490f53,94533c8941a6938b,ts-gateway-service,POST,http.url,12031
9a1fbcb89bdbc52fcc095453b0c8596c,daf1104eefc11d4c,ts-gateway-service,POST,http.url,12346
fdfa48e22f623f98ed9f52bee67e69f1,1a500812b37eb4f1,ts-gateway-service,GET,http.url,15678
630bb6379ad962f53e708e570aa48cff,fb45e75c77914c9a,ts-admin-basic-info-service,PUT,http.url,14567
630bb6379ad962f53e708e570aa48cff,2397d902928f949c,ts-gateway-service,PUT,http.url,18767
b7e0a93baf684e07818b142f694a57e1,59c9816a0fd7c244,ts-execute-service,GET /api/v1/executeservice/execute/execute/{orderId},http.target,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,2fc59f1961a0a058,ts-execute-service,GET,http.url,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,2fc59f1961a0a058,ts-execute-service,GET,http.url,12031
b7e0a93baf684e07818b142f694a57e1,6a212fe99cdf12e2,ts-execute-service,GET,http.url,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,6a212fe99cdf12e2,ts-execute-service,GET,http.url,12032
b7e0a93baf684e07818b142f694a57e1,bc8480ef62e1d9a8,ts-execute-service,GET,http.url,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,bc8480ef62e1d9a8,ts-execute-service,GET,http.url,12032
b7e0a93baf684e07818b142f694a57e1,2e31c08607653f49,ts-gateway-service,GET,http.url,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,2e31c08607653f49,ts-gateway-service,GET,http.url,12386
b7e0a93baf684e07818b142f694a57e1,593eb16e5771284f,ts-gateway-service,GET /*,http.target,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,65ae3114a45abb6d,ts-order-service,GET /api/v1/orderservice/order/{orderId},http.target,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,cf8297e1a97cd19c,ts-order-other-service,GET /api/v1/orderOtherService/orderOther/status/{orderId}/{status},http.target,3c0120cf-7d4f-491a-9038-333ad8665728
b7e0a93baf684e07818b142f694a57e1,07892dc750f95f27,ts-order-other-service,GET /api/v1/orderOtherService/orderOther/{orderId},http.target,3c0120cf-7d4f-491a-9038-333ad8665728
